#Feature ID	taxonomy	Confidence
2c50de6ca06c79078ea46b7e16898092	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae_1;D_5__Clostridium_sensu_stricto_1	0.9355170203204682
6071f764ed2a7c8c2ed5367aa1b153b5	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae	0.9970827959224676
00ea972c662a2fec1a876b4c24d97759	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Alloprevotella;Ambiguous_taxa	0.8663680103077848
1339ab63aeed4fab434b2358465a894f	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Lachnospiraceae_NK4A136_group	0.7158913775230369
a319489cba3b127d2e62ef9f54f22a4c	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus;D_6__Lactobacillus_johnsonii	0.8082681623653609
97dcd54fb4c5d5bb6d6425ac4714f454	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus;D_6__Lactobacillus_johnsonii	0.7431889088083922
24a5805eb8d5f4e830ff6ddc707ab96d	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Muribaculaceae	0.9993981982947691
908c0f6b8b8e269f913532b70969740e	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Lachnospiraceae_NK4A136_group	0.7650459282519942
94de5dc59e680949b75af4cb0cd8c95c	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Alloprevotella;Ambiguous_taxa	0.777991269639828
4fc945e645f8b699fe47caace4b8ece4	D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia;D_3__Erysipelotrichales;D_4__Erysipelotrichaceae;D_5__Turicibacter;D_6__uncultured_bacterium	0.8106652881843217
e085950dab8f5cd83e02f096e8822ccb	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Lachnospiraceae_NK4A136_group	0.7788763072848683
1f6794395dd2082fe8cca5f175570c58	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Muribaculaceae;Ambiguous_taxa;Ambiguous_taxa	0.8587987207738106
3e4ce6932d83a95b798f4c844856c203	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Muribaculaceae;D_5__uncultured_bacterium;D_6__uncultured_bacterium	0.9933707828119228
0fd844e4a3a9a205811165e78ed2373d	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Muribaculaceae;D_5__uncultured_bacterium;D_6__uncultured_bacterium	0.9370769658668302
f84d25c2839f37ec8ffa7abab3d69f28	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Tannerellaceae;D_5__Parabacteroides;D_6__uncultured_Bacteroidales_bacterium	0.9740792141747012
b03bab137ab183feab9bd7b5d0c74df8	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae	0.9989840168200969
db1e43571df6a066f9bd18a195eb42cb	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcus_1	0.9849566901413831
2c78723e9187770572ca2ac9725fac2b	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Prevotellaceae_UCG-001;D_6__uncultured_bacterium	0.8069197719798834
